GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Speed (OBD)(mph),Ratio (RPM/mph),5,4,3,2,1
Thu Jan 11 19:06:38 EST 2018,06:37.7,-85.63710524,38.18721135,0,4.5509996,114,0,0.03349304,9.2482605,2.30189514,0.03626109,902.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:39 EST 2018,06:38.7,-85.63710858,38.18721388,0,4.5509996,114,0,0.07177734,9.60240173,1.16529846,0.04260251,1060,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:40 EST 2018,06:39.7,-85.63711036,38.18722,0.4,4.5509996,115,224.1,-1.1174469,10.36810303,3.49830627,0.04841247,2041.5,1.86411357,1095.15859594327,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:41 EST 2018,06:40.7,-85.63712358,38.18723214,1.78,4.5509996,116,321.3,-1.35913086,9.72442627,1.98603821,0.04200123,1857,3.72822714,498.09196979345,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:42 EST 2018,06:41.7,-85.63714321,38.18724882,2.24,4.5509996,116,328.7,0.89013672,10.10009766,2.80917358,0.03808028,1728.5,7.45645428,231.812592834674,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:43 EST 2018,06:42.7,-85.63717615,38.18726917,3.81,4.5509996,117,312.5,-1.29450989,9.71006775,2.77088928,0.02644453,1987.75,9.32056808,213.264897905236,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:44 EST 2018,06:43.7,-85.63722276,38.18729314,4.82,4.5509996,116,306.2,0.38046265,9.76271057,2.3952179,0.03652105,2427.25,11.18468189,217.015559662019,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:45 EST 2018,06:44.7,-85.63730738,38.18731772,5.23,4.5509996,117,302.8,0.4355011,8.60458374,2.9503479,0.01306955,1961.5,11.18468189,175.373785261943,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:46 EST 2018,06:45.7,-85.63734914,38.18734362,5.02,4.5509996,117,305.5,-0.50488281,8.42272949,1.17726135,0.03445569,1314.5,11.18468189,117.526811484488,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:47 EST 2018,06:46.7,-85.63739342,38.18736933,4.95,4.5509996,118,307.7,-0.36610413,9.07836914,2.06022644,0.06239852,1275,9.94193935,128.244596462963,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:48 EST 2018,06:47.7,-85.63742634,38.18739591,4.47,4.5509996,118,312.9,2.05783081,9.60717773,2.49571228,0.03482381,1181.25,9.32056808,126.73583732892,#N/A,#N/A,#N/A,,
Thu Jan 11 19:06:49 EST 2018,06:48.7,-85.63745625,38.18743029,4.65,4.5509996,119,323.5,1.54815674,11.18165588,4.3046875,0.05829569,1112,8.69919682,127.82789296633,#N/A,#N/A,#N/A,,
